,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,174,2020-01-03,1.49,5,218,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,29,1,257,2020-03-06,2.2,2,365,Malpighi
2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.488170000000004,11.341239999999999,Entire home/apt,70,1,239,2020-01-12,2.65,1,266,Galvani
3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.496990000000004,11.32206,Entire home/apt,63,1,6,2018-12-07,0.08,1,359,Saffi
4,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49088,11.3384,Entire home/apt,40,1,26,2020-02-21,1.88,3,362,Malpighi
5,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.4,1,364,Murri
6,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46817,11.39,Private room,50,2,28,2019-12-02,0.26,2,365,Mazzini
7,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,40,3,63,2019-12-31,0.6,9,365,Malpighi
8,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,96,2020-02-16,0.9,4,30,Galvani
9,184665,"Due doppie,piu' divano letto",885872,Giuliana,,Santo Stefano,44.50189,11.35031,Private room,32,1,9,2020-02-20,0.14,5,365,Irnerio
10,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,50,2,248,2020-02-23,2.36,2,63,Malpighi
11,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.492540000000005,11.34009,Entire home/apt,110,4,46,2020-01-04,0.49,2,106,Malpighi
12,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,25,1,19,2019-09-06,0.67,3,122,Lame
13,214615,due doppie  Mascarella,885872,Giuliana,,Santo Stefano,44.50172,11.35047,Private room,32,1,5,2020-01-02,0.09,5,365,Irnerio
14,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,89,3,137,2020-01-02,1.32,2,167,Galvani
15,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,28,2019-12-01,0.31,1,138,Bolognina
16,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.24,1,340,Malpighi
17,245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,74,3,8,2017-11-07,0.08,3,334,Costa Saragozza
18,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2020-01-01,0.22,1,364,Marconi
19,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,129,2020-02-14,1.33,4,24,Galvani
20,252657,"Two doubles, plus' sofa bed",885872,Giuliana,,Santo Stefano,44.50035,11.351469999999999,Private room,32,1,20,2016-09-10,0.2,5,364,Irnerio
21,253252,"B/B, CASA VACANZE",885872,Giuliana,,Santo Stefano,44.50164,11.35185,Private room,32,1,0,,,5,364,Irnerio
22,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.332410000000001,Entire home/apt,85,3,53,2020-03-01,0.53,1,286,Malpighi
23,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.42,1,363,Marconi
24,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.369769999999999,Private room,50,1,22,2020-03-06,0.23,1,364,Murri
25,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.353710000000001,Entire home/apt,130,7,34,2019-10-20,0.35,1,359,Irnerio
26,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,23,2019-11-04,0.23,1,258,Irnerio
27,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.81,5,0,Galvani
28,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,68,2020-02-29,0.71,2,184,Irnerio
29,359082,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49687,11.35013,Private room,55,7,2,2019-09-20,0.13,2,275,Irnerio
30,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47733,11.34821,Entire home/apt,70,2,15,2020-03-13,0.44,1,182,Colli
31,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,77,2020-02-23,0.8,5,148,Malpighi
32,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49548,11.330219999999999,Entire home/apt,250,2,214,2019-11-04,2.2,2,361,Malpighi
