,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
1979,18745376,"2 br- apt close to Sant'Orsola Hpt, centre, fair",5510279,Alessandro,,San Donato - San Vitale,44.4933042021602,11.364949264064304,Entire home/apt,60,2,7,2018-03-27,0.49,22,85,S. Vitale
1980,18762012,Renovated 1bdr in the heart of Bologna! 81381,5056483,Bettina,,Porto - Saragozza,44.4965292030714,11.341751625562337,Entire home/apt,326,1,1,2017-07-01,0.07,66,132,Marconi
1981,18762697,Lovely Central Room,34577911,Peppe,,Porto - Saragozza,44.48780485784791,11.337372948006509,Private room,35,3,4,2018-01-13,0.38,1,56,Malpighi
1982,18789510,La casa del Borgo - stanza matrimoniale,40870269,Nicla,,Borgo Panigale - Reno,44.52255057803018,11.262576776569798,Private room,24,1,23,2018-08-19,1.55,2,2,Borgo Panigale
1983,18820712,Apartment Carracci - high speed ttrain station,24852094,Callisto,,Navile,44.50667140009617,11.343142439115772,Entire home/apt,48,2,48,2018-08-18,3.24,8,156,Bolognina
1984,18825426,Pratello Antico,23120651,Lucia,,Porto - Saragozza,44.49485146647886,11.329847685129266,Entire home/apt,50,4,36,2018-08-13,2.75,1,86,Malpighi
1985,18840679,Loft soppalcato in palazzo d'epoca,9006331,Monia E Rachele,,Santo Stefano,44.496767545649064,11.351698346472485,Entire home/apt,90,1,104,2018-08-28,7.01,2,325,Irnerio
1986,18848617,Camera privata n. 2  JAB tra le colline Bolognesi,19670948,Francesca,,Savena,44.46245404494954,11.367997983386172,Private room,55,1,2,2018-04-17,0.22,2,172,S. Ruffillo
1987,18848662,Bright and quiet in the heart of the city.,1877146,Giulio,,Porto - Saragozza,44.49364623004404,11.334659163121838,Entire home/apt,90,2,4,2018-01-02,0.36,5,225,Malpighi
1988,18851236,Bolognamania Apartments - Prime,112546087,Bolognamania,,Porto - Saragozza,44.50405780962742,11.313991124749146,Entire home/apt,60,1,16,2018-07-28,1.04,2,74,Saffi
1989,18851820,lovely apt 20 minute from city center,78826252,Michela,,Porto - Saragozza,44.49995405565237,11.319788451328895,Entire home/apt,26,2,4,2018-07-09,0.36,1,85,Saffi
1990,18860004,Appartamento Casabianca by Holiplanet,35128982,Andrea,,Porto - Saragozza,44.500869714379746,11.32149547095974,Entire home/apt,50,2,20,2017-10-08,1.31,4,205,Saffi
1991,18862942,Bologna bnb,131424160,Cristel,,San Donato - San Vitale,44.48880026604235,11.372581499126573,Private room,28,1,113,2018-08-10,7.53,1,25,S. Vitale
1992,18866689,Little Donkey Suite - lovely design studio flat!,7457722,Silvia,,Santo Stefano,44.501020757370675,11.351377635316208,Entire home/apt,60,1,68,2018-08-11,5.93,2,85,Irnerio
1993,18871439,Stanza in zona Stazione!,131324146,Mario,,Porto - Saragozza,44.5067844171318,11.33258911342684,Private room,25,1,43,2018-07-19,2.8,1,88,Saffi
1994,18905747,Delightful 1bdr 70m2 in Sant'Orsola area 81380,5056483,Bettina,,San Donato - San Vitale,44.49268309313641,11.383579180027573,Entire home/apt,140,3,0,,,66,163,S. Vitale
1995,18913729,Bologna..  Welcome home :-),9332764,Claudio & Giusy,,Santo Stefano,44.497410598742455,11.343930858025315,Entire home/apt,60,3,48,2018-08-04,3.22,1,154,Irnerio
1996,18913791,Appartamento 4 posti letto in prima periferia,131802635,Francesca,,Navile,44.53022344440794,11.351923437089884,Entire home/apt,50,2,21,2018-07-25,1.48,1,29,Corticella
1997,18925928,Apt con terrazzo Vicino all'Ospedale Bellaria,3920385,Simonetta,,Savena,44.47378418083153,11.407980085931491,Entire home/apt,50,1,7,2017-11-12,0.47,1,357,
1998,18931190,"Accogliente Stanza, zona Stadio.",131962407,Giovanni,,Porto - Saragozza,44.490000101553775,11.319504092836807,Private room,40,1,3,2018-02-13,0.2,1,364,Costa Saragozza
1999,18945682,Casa Poggiale,132080852,Veronica,,Porto - Saragozza,44.49797726060471,11.340437690488017,Entire home/apt,90,1,19,2018-06-30,1.26,1,250,Marconi
2000,18954004,Green paradise close to the center of Bologna,71057753,Villa,,Porto - Saragozza,44.467861304016026,11.31308478733976,Entire home/apt,85,1,10,2018-08-17,0.74,1,109,Colli
2001,18971975,Violetta bedroom,49332329,Andrea,,Porto - Saragozza,44.503541713573284,11.339931433192186,Private room,58,2,2,2018-04-30,0.35,3,152,Marconi
2002,18973206,Two single beds or double bed Orange room,49332329,Andrea,,Porto - Saragozza,44.50389670246879,11.339984777036806,Private room,48,2,5,2018-07-14,0.5,3,149,Marconi
2003,18976494,La mansarda di Sant'Isaia,132370169,Cristiano,,Porto - Saragozza,44.49300747805745,11.331405067035837,Entire home/apt,70,1,54,2018-07-17,3.58,1,164,Malpighi
2004,18991120,Bologna Modern Loft x2,132464778,Welcome To Bologna!,,Porto - Saragozza,44.50094276140212,11.321143823217485,Entire home/apt,45,2,15,2018-07-12,1.02,32,75,Saffi
2005,18992915,DALLA CORTE B&B - Super Exclusive City Centre,132481507,Federico,,Santo Stefano,44.4914415326448,11.34336585617634,Private room,43,1,124,2018-08-15,8.38,3,64,Galvani
2006,18995979,Home élite,112910495,Simone,,Borgo Panigale - Reno,44.5100096848597,11.30358636157769,Entire home/apt,65,1,3,2018-03-29,0.57,1,250,S. Viola
2007,19003776,GRETA HAUS  -  MAMBO-PORTA LAME,16996602,Monica,,Porto - Saragozza,44.50453656485346,11.33295301391404,Entire home/apt,55,1,15,2018-07-13,1.01,2,169,Saffi
2008,19005487,Carbonesi 10 The Studio  - City Center,9057687,Federico,,Porto - Saragozza,44.491432912577714,11.341705194440124,Entire home/apt,75,7,0,,,1,180,Malpighi
2009,19007845,Charming 3 Rooms Apartment! Near the City Center,132464778,Welcome To Bologna!,,Santo Stefano,44.488895377739155,11.362327995773999,Entire home/apt,57,2,21,2018-08-12,1.69,32,75,S. Vitale
2010,19008098,Zaccani Home,132613892,Riccardo,,Santo Stefano,44.48155605997817,11.348167018853436,Entire home/apt,52,1,124,2018-08-23,8.79,1,292,Colli
2011,19009755,Sunny Apartment with Private Big Balcony! WI-FI!,132464778,Welcome To Bologna!,,Santo Stefano,44.48652239241727,11.360256003776904,Entire home/apt,55,1,25,2018-07-14,1.86,32,0,Murri
2012,19012684,.. a casa di filo..,2688746,Sos Architettura Snc,,Porto - Saragozza,44.490634306166235,11.335630055957402,Entire home/apt,60,2,26,2018-07-28,1.79,4,265,Malpighi
2013,19023137,Charming & Cozy City Center Apartment x 6,132464778,Welcome To Bologna!,,Santo Stefano,44.48276586517851,11.361120266385127,Entire home/apt,85,2,26,2018-08-11,2.22,32,34,Murri
2014,19024623,La Suite del Borgo,17886766,Lara,,Santo Stefano,44.497488838611936,11.346902475661807,Private room,55,1,0,,,2,360,Irnerio
2015,19025191,Ampia stanza Privata Bologna ( Ad.ze Via Marconi),132759649,Niccolò,,Porto - Saragozza,44.50083880134201,11.337623840630922,Private room,45,2,4,2017-11-17,0.27,3,250,Marconi
2016,19025548,stanza centro bologna (ad.ze Via Marconi),132759649,Niccolò,,Porto - Saragozza,44.49968570162679,11.339079100058004,Private room,45,2,2,2017-07-02,0.14,3,250,Marconi
2017,19028382,Lovely Central Apartment,82508517,Federico,,Santo Stefano,44.49008394603696,11.349371696727436,Entire home/apt,55,1,115,2018-08-28,8.21,1,17,Galvani
2018,19028990,Apartment Giardini Margherita / Centro / Rizzoli,132787680,Alessandro,,Santo Stefano,44.48468167696287,11.349623657809891,Entire home/apt,100,28,7,2018-07-02,0.63,1,333,Galvani
2019,19034604,Studio porta San Vitale,17970971,Patrizio,,San Donato - San Vitale,44.4945018636462,11.35821839200073,Entire home/apt,40,1,28,2018-08-01,2.13,1,157,S. Vitale
