,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,174,2020-01-03,1.54,4,165,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,29,1,250,2019-12-22,2.21,2,325,Malpighi
2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.340580000000001,Entire home/apt,70,1,238,2020-01-07,2.75,1,0,Galvani
3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.496990000000004,11.32206,Entire home/apt,63,1,6,2018-12-07,0.09,1,340,Saffi
4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,32,2019-08-23,0.32,2,364,Costa Saragozza
5,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,40,1,24,2019-10-27,2.38,3,251,Malpighi
6,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.42,1,356,Murri
7,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,28,2019-12-02,0.27,2,362,Mazzini
8,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,63,2019-12-31,0.62,9,361,Malpighi
9,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,95,2020-01-01,0.92,6,167,Galvani
10,184665,"Due doppie,piu' divano letto",885872,Giuliana,,Santo Stefano,44.50189,11.35031,Private room,33,1,8,2019-10-26,0.14,2,365,Irnerio
11,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,49,2,246,2019-11-24,2.42,2,83,Malpighi
12,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.492540000000005,11.34009,Entire home/apt,110,4,45,2019-08-28,0.5,2,88,Malpighi
13,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,25,1,19,2019-09-06,0.77,3,11,Lame
14,214615,due doppie  Mascarella,885872,Giuliana,,Santo Stefano,44.50172,11.35047,Private room,33,1,4,2016-03-05,0.07,2,365,Irnerio
15,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,89,3,137,2020-01-02,1.37,2,0,Galvani
16,228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,102,2019-11-10,1.14,1,339,Marconi
17,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.349160000000001,Entire home/apt,64,3,28,2019-12-01,0.32,1,144,Bolognina
18,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.25,1,312,Malpighi
19,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2020-01-01,0.23,1,341,Marconi
20,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,125,2019-12-15,1.34,6,163,Galvani
21,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.332410000000001,Entire home/apt,85,3,52,2019-08-30,0.54,1,249,Malpighi
22,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.44,1,359,Marconi
23,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.369769999999999,Private room,50,1,21,2019-03-20,0.23,1,365,Murri
24,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.353710000000001,Entire home/apt,130,7,34,2019-10-20,0.36,1,282,Irnerio
25,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,23,2019-11-04,0.24,1,351,Irnerio
26,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.85,4,0,Galvani
27,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,66,2019-11-17,0.72,1,0,Irnerio
28,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.477579999999996,11.34798,Entire home/apt,70,2,13,2020-01-02,0.43,1,119,Colli
