,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,174,2020-01-03,1.52,5,105,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.335139999999999,Private room,29,1,255,2020-02-16,2.23,2,339,Malpighi
2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.488170000000004,11.341239999999999,Entire home/apt,70,1,239,2020-01-12,2.72,1,201,Galvani
3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.496990000000004,11.32206,Entire home/apt,63,1,6,2018-12-07,0.08,1,335,Saffi
4,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49088,11.3384,Entire home/apt,40,1,25,2020-01-29,2.2,3,343,Malpighi
5,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.41,1,356,Murri
6,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46817,11.39,Private room,50,2,28,2019-12-02,0.27,2,340,Mazzini
7,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,40,3,63,2019-12-31,0.61,9,232,Malpighi
8,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,96,2020-02-16,0.92,6,118,Galvani
9,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,51,2,246,2019-11-24,2.39,2,74,Malpighi
10,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.492540000000005,11.34009,Entire home/apt,110,4,46,2020-01-04,0.5,2,61,Malpighi
11,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.330739999999999,Private room,25,1,19,2019-09-06,0.73,3,49,Lame
12,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,89,3,137,2020-01-02,1.35,2,1,Galvani
13,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,28,2019-12-01,0.31,1,130,Bolognina
14,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.24,1,319,Malpighi
15,245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,74,3,8,2017-11-07,0.08,3,276,Costa Saragozza
16,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2020-01-01,0.22,1,336,Marconi
17,250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,128,2020-01-26,1.35,6,119,Galvani
18,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.332410000000001,Entire home/apt,85,3,52,2019-08-30,0.54,1,234,Malpighi
19,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.43,1,338,Marconi
20,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.369769999999999,Private room,50,1,21,2019-03-20,0.23,1,306,Murri
21,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.353710000000001,Entire home/apt,130,7,34,2019-10-20,0.36,1,320,Irnerio
22,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,23,2019-11-04,0.24,1,241,Irnerio
23,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.83,5,0,Galvani
24,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,67,2020-01-13,0.72,1,166,Irnerio
25,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47733,11.34821,Entire home/apt,70,2,14,2020-02-16,0.44,1,109,Colli
26,372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,52,2019-10-05,0.68,2,106,Irnerio
27,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,76,2019-10-17,0.81,5,51,Malpighi
28,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49548,11.330219999999999,Entire home/apt,100,2,214,2019-11-04,2.25,2,311,Malpighi
29,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.491279999999996,11.35617,Entire home/apt,51,2,78,2019-12-28,0.92,4,339,Irnerio
30,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,90,2,198,2019-09-22,2.09,5,211,Marconi
31,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,160,2019-12-25,1.67,4,85,Marconi
32,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,80,3,96,2020-01-03,1.19,3,231,Irnerio
33,428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.492709999999995,11.3449,Entire home/apt,54,2,478,2020-02-02,5.3,1,177,Galvani
34,434123,La valigia italiana,2157833,Grazia,,Santo Stefano,44.48532,11.36928,Private room,30,1,90,2019-11-19,0.95,1,161,S. Vitale
35,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.381730000000001,Private room,100,2,11,2018-09-27,0.12,1,233,San Donato
36,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.496140000000004,11.31751,Private room,40,1,113,2020-02-16,1.21,1,60,Costa Saragozza
37,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.490320000000004,11.337489999999999,Entire home/apt,70,2,4,2019-07-21,0.06,2,309,Malpighi
38,510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596,11.2911,Private room,100,1,52,2016-01-02,0.57,1,48,Barca
